728.266, 368.457, 630.811, 169.638, 2251.44, Signal.
590.593, 591.062, 71.6586, 151.273, 2093.93, Signal.
811.862, 1187.3, 317.94, 687.796, 3683.91, Signal.
750.085, 721.972, 355.981, 127.255, 2094.16, Signal.
727.902, 507.015, 384.692, 343.845, 2315.29, Signal.
615.644, 775.548, 109.935, 230.792, 2086.45, Signal.
725.628, 224.524, 513.277, 181.667, 2661.36, Signal.
281.708, 285.242, 195.885, 183.043, 1518.98, Signal.
899.062, 439.833, 710.592, 176.996, 2533.75, Signal.
1022.98, 186.918, 485.786, 120.562, 2268.82, Signal.
673.087, 536.892, 333.859, 428.802, 2281.5, Signal.
767.979, 829.777, 300.798, 222.994, 2271.12, Signal.
731.259, 202.019, 672.626, 158.068, 1979.68, Signal.
661.193, 499.901, 305.305, 127.586, 1934.61, Signal.
875.885, 660.774, 392.803, 189.163, 2661.18, Signal.
902.856, 258.017, 839.539, 248.7, 3215.79, Signal.
357.561, 419.274, 287.39, 112.966, 1986.82, Signal.
809.913, 391.921, 613.778, 231.511, 2234.51, Signal.
373.324, 508.031, 247.912, 148.143, 2308.18, Signal.
775.681, 286.371, 763.286, 56.9345, 2042.29, Signal.
543.614, 192.68, 221.162, 113.738, 1824.39, Signal.
668.777, 350.544, 381.006, 64.4799, 2319.99, Signal.
379.436, 348.85, 190.771, 81.5284, 2163.67, Signal.
339.379, 454.473, 223.764, 301.098, 2179.92, Signal.
571.451, 168.452, 398.391, 47.0375, 1535.76, Signal.
717.589, 690.696, 81.5444, 181.455, 2259.15, Signal.
701.171, 692.774, 256.414, 112.178, 2119.83, Signal.
816.734, 865.333, 206.076, 269.376, 2225.59, Signal.
434.053, 431.699, 265.463, 409.767, 2090.67, Signal.
714.08, 254.984, 595.707, 152.47, 2090.55, Signal.
226.399, 375.803, 121.103, 183.293, 1707.46, Signal.
741.371, 602.698, 119.786, 144.69, 1910.9, Signal.
533.976, 566.177, 198.522, 223.91, 1814.9, Signal.
715.938, 115.822, 632.197, 73.2654, 1964.99, Signal.
716.862, 338.556, 175.143, 191.153, 1639.57, Signal.
936.2, 330.396, 109.924, 317.481, 1983.42, Signal.
411.27, 424.438, 319.239, 195.206, 1728.52, Signal.
686.959, 429.357, 121.101, 163.634, 1720.26, Signal.
759.792, 84.6957, 735.421, 79.377, 1751.1, Signal.
909.294, 442.152, 263.86, 291.876, 2103.02, Signal.
471.329, 138.919, 158.06, 112.248, 980.165, Signal.
639.849, 296.926, 242.036, 72.5356, 1508.75, Signal.
681.626, 634.385, 200.031, 158.552, 2033.85, Signal.
746.036, 556.748, 214.946, 286.413, 1916.23, Signal.
701.316, 442.436, 699.053, 43.706, 2169, Signal.
354.44, 173.956, 82.0553, 168.839, 1793.35, Signal.
474.146, 417.55, 275.148, 190.339, 1866.32, Signal.
746.973, 254.054, 589.302, 220.304, 2311.81, Signal.
855.773, 271.873, 534.985, 177.94, 1921.16, Signal.
597.112, 358.802, 383.024, 227.521, 2137.94, Signal.
383.435, 266.157, 359.748, 216.081, 1869.22, Signal.
462.98, 643.43, 358.341, 215.966, 2206.36, Signal.
515.401, 784.093, 175.182, 180.126, 2167.05, Signal.
461.558, 425.565, 76.6465, 335.485, 1794.08, Signal.
932.116, 682.832, 149.694, 494.614, 2588.31, Signal.
328.05, 218.104, 227.394, 173.607, 1484.33, Signal.
773.402, 235.764, 301.566, 201.652, 1693.17, Signal.
532.259, 228.467, 430.642, 157.833, 2115.7, Signal.
982.426, 796.488, 109.302, 112.317, 2268.67, Signal.
905.667, 119.703, 828.078, 69.2088, 2180.07, Signal.
305.269, 363.363, 108.991, 272.302, 2205.75, Signal.
458.74, 307.616, 254.913, 43.4956, 1176.06, Signal.
772.498, 341.444, 513.507, 259.828, 2025.13, Signal.
806.283, 151.575, 503.982, 74.5872, 2239.13, Signal.
763.53, 549.441, 62.6034, 375.684, 1951.94, Signal.
894.591, 586.026, 146.975, 53.2612, 1683.22, Signal.
818.727, 700.104, 250.904, 369.826, 2191.8, Signal.
450.351, 437.717, 301.108, 177.017, 2009.37, Signal.
